"Title	Given planned earliest start	Given planned earliest end	Notes	Assigned Resources	Additional Title",,,,,
"Z Day	""01/01/2014""		""Everything is in reverse alphabetical order today", Z's go first and A's go last,,,,
"	""	""
National Science Fiction Day""	""01/02/2014""		""Kickback and watch sci-fi TV all day",,,,,
"	""	""
Drinking Straw Day""	""01/03/2014""		""Today in 1888 the drinking straw was patented", use it wisely,,,,
"	""	""
Festival of Sleep Day""	""01/03/2014""		""why not just stay in bed today",,,,,
"	""	""
Fruitcake Toss Day""	""01/03/2014""		""We are going for distance and form",,,,,
"	""	""
Tennis Day""	""01/04/2014""		""Love - 30", get out and play some tennis,,,,
"	""	""
Trivia Day""	""01/04/2014""		""Learn a new piece of trivia or tell someone else an interesting fact",,,,,
"	""	""
Bird Day""	""01/05/2014""		""This day is for the birds",,,,,
"	""	""
Apple Tree Day""	""01/06/2014""		""Eat an apple or plant a tree today",,,,,
"	""	""
Dress Up a Pet Day""	""01/07/2014""		""Dogs in hats", Cats in pants, birds with sunglasses - dress-up your pet today.,,,
"	""	""
National Clean-off-your-desk Day""	""01/08/2014""		""take some time out and get organized today",,,,,
"	""	""
Postal Day""	""01/08/2014""		""Thank your postal worker", rain or shine you get your mail.,,,,
"	""	""
Show and Tell Day at Work""	""01/08/2014""		""Bring something to work today to show your friends",,,,,
"	""	""
World Literacy Day""	""01/08/2014""		""For the sake of the world", read today,,,,
"	""	""
National Static Electricity Day""	""01/09/2014""		""Rub a balloon on your head and stick it to the wall today",,,,,
"	""	""
Volunteer Fireman's Day""	""01/10/2014""		""Say thanks to a volunteer fire-fighter for all their hardwork",,,,,
"	""	""
International Thank You Day""	""01/11/2014""		""Be sure to say thank you all day today",,,,,
"	""	""
National Step in a Puddle and Splash Your Friend Day""	""01/11/2014""		""Do just as it says", then run,,,,
"	""	""
National Clean Off Your Desk Day""	""01/12/2014""		""Take some time today and clear off all the clutter on your desk", you'll be glad you did,,,,
"	""	""
Bad Back Day""	""01/13/2014""		""If you have a bad back", today is for you,,,,
"	""	""
Bald Eagle Day""	""01/14/2014""		""Have you seen a bald eagle today?",,,,,
"	""	""
National Dress Up Your Pet Day""	""01/14/2014""		""If only for one day a year", dress your pet up today,,,,
"	""	""
National Hot Pastrami Sandwich Day""	""01/14/2014""		""Be sure it's a Hot one",,,,,
"	""	""
Hat Day""	""01/15/2014""		""Put on a hat today", preferably a funny one,,,,
"	""	""
Personal Firewall Day""	""01/15/2014""		""crank-up ipchains and firewall yourself in",,,,,
"	""	""
National Nothing Day""	""01/16/2014""		""It is no different than any other day",,,,,
"	""	""
Pig Day""	""01/17/2014""		""Oink Oink!",,,,,
"	""	""
Jazz Day""	""01/18/2014""		""Put on that Jazz CD or listen to jazz radio today",,,,,
"	""	""
Archery Day""	""01/19/2014""		""Bull's Eye!",,,,,
"	""	""
National Popcorn Day""	""01/19/2014""		""If you like them salted or sugared", with or without butter, pop some popcorn today,,,
"	""	""
Basketball Day""	""01/20/2014""		""Play around of basketball today", possibly at midnight,,,,
"	""	""
Penguin Awareness Day""	""01/20/2014""		""Are you aware the largest penguin population is located in South Africa? Be aware of penguins and penguin related facts today.",,,,,
"	""	""
Granola Bar Day""	""01/21/2014""		""Eat granola in bar form today",,,,,
"	""	""
National Hugging Day""	""01/21/2014""		""Give some one a Hug today",,,,,
"	""	""
National Blonde Brownie Day""	""01/22/2014""		""""	""""	""""",,,,,
"Measure Your Feet Day	""01/23/2014""		""inches or centimeters", how big are your feet?,,,,
"	""	""
National Handwriting Day""	""01/23/2014""		""Why typewrite when you can handwrite",,,,,
"	""	""
National Pie Day""	""01/23/2014""		""""	""""	""""",,,,,
"National Peanut Butter Day	""01/24/2014""		""There are over 100 different uses for peanut butter", use at least one today,,,,
"	""	""
Burns Night""	""01/25/2014""		""Eat some haggis", recite some poems, and have a wee nip of scotch,,,
"	""	""
Opposite Day""	""01/25/2014""		""Do the opposite of what you're told today",,,,,
"	""	""
Spouse's Day""	""01/26/2014""		""Do something special for your spouse today.",,,,,
"	""	""
Thomas Crapper Day""	""01/27/2014""		""This day honors quite possibly the greatest plumber ever",,,,,
"	""	""
Daisy Day""	""01/28/2014""		""""	""""	""""",,,,,
"National Kazoo Day	""01/28/2014""		""get the Kazoo out and just break into song",,,,,
"	""	""
Rattle Snake Round-Up Day""	""01/28/2014""		""Breakout the whacking sticks and round-up all those Rattlers",,,,,
"	""	""
National Puzzle Day""	""01/29/2014""		""250",500, or 1000 piece puzzle will do!,,,
"	""	""
Inane Answering Machine Day""	""01/30/2014""		""Leave a message at the beep", BEEP!,,,,
"	""	""
Escape Day""	""01/31/2014""		""Escape from something today",,,,,
"	""	""
Robinson Crusoe Day""	""02/01/2014""		""Pretend you are stranded on an island today",,,,,
"	""	""
Frozen Food""	""02/02/2014""		""It if wasn't once frozen", don't bother eating it today,,,,
"	""	""
National Carrot Day""	""02/03/2014""		""Be sure to eat your carrots today",,,,,
"	""	""
Thank a Mailman Day""	""02/04/2014""		""""	""""	""""",,,,,
"National Weatherperson's Day	""02/05/2014""		""Thank your weatherperson for all their prediction",,,,,
"	""	""
National Frozen Yogurt Day""	""02/06/2014""		""Go for the healthy alternative", go for yogurt today,,,,
"	""	""
Charles Dickens Day""	""02/07/2014""		""Why not start a Dickens Novel today",,,,,
"	""	""
Kite Flying Day""	""02/08/2014""		""Get outside and fly a Kite today.",,,,,
"	""	""
Toothache Day""	""02/09/2014""		""Not sure you really want to celebrate this one!",,,,,
"	""	""
Umbrella Day""	""02/10/2014""		""Don't forget your umbrella rain or shine", you'll need it today,,,,
"	""	""
Don't Cry Over Spilled Milk Day""	""02/11/2014""		""Don't do it! at least not today",,,,,
"	""	""
National Inventor's Day""	""02/11/2014""		""If you have an idea", don't tell anyone, today everyone is trying to invent something,,,
"	""	""
Darwin Day""	""02/12/2014""		""He gave us the theory of evolution", today is his special day,,,,
"	""	""
Get a Different Name Day""	""02/13/2014""		""Bill", Jane, Nick, or anything you like...,,
"	""	""
Stamp Collectors Day""	""02/13/2014""		""If you are a stamp collector review your collection", if not, start one,,,
"	""	""
Ferris Wheel Day""	""02/14/2014""		""If you can get on a Ferris Wheel and enjoy the ride",,,,,
